productId,productName,productUrl,sku,listPriceMax,price,image
ITNL181504,Lovely Mixed Roses Arrangement,https://www.fnp.com/canada/gift/lovely-mixed-roses-arrangement?localityname=vancouver&pos=138,VD21_BLX_LF11-57_CAN,4349.0,4349.0,https://www.fnp.com/images/pr/canada/m/v20210208200839/lovely-mixed-roses-arrangement.jpg
ITNL135872,Festive Bhai Dooj Combo,https://www.fnp.com/canada/gift/festive-bhai-dooj-combo?localityname=vancouver&pos=139,RKCART_CARTUSABJ2020003_CAN,1699.0,1699.0,https://www.fnp.com/images/pr/canada/m/v20201023134855/festive-bhai-dooj-combo.jpg
PERS-ITNL109,Personalised Love White Ceramic Mug,https://www.fnp.com/canada/gift/personalised-love-white-ceramic-mug?localityname=vancouver&pos=140,CARTPERSMUG190102_CAN,2699.0,2699.0,https://www.fnp.com/images/pr/canada/m/v20190131133900/personalised-love-white-ceramic-mug.jpg
ITNL24189,Sweet Devotions,https://www.fnp.com/canada/gift/sweet-devotions?localityname=vancouver&pos=141,BLX_FNMF095_CAN,7199.0,7199.0,https://www.fnp.com/images/pr/canada/m/v20180130132052/sweet-devotions.jpg
ITNL203823,Delectable Birthday Cake 6 Inches,https://www.fnp.com/canada/gift/delectable-birthday-cake-6-inches?localityname=vancouver&pos=142,FRSTD_CK02_CAN,4049.0,4049.0,https://www.fnp.com/images/pr/canada/m/v20210521063556/delectable-birthday-cake-6-inches.jpg
ITNL19720,Besan Laddoo Bhai Dooj Gift Set,https://www.fnp.com/canada/gift/besan-laddoo-bhai-dooj-gift-set?localityname=vancouver&pos=143,CART_CANEXBJ195306_CAN,2649.0,2649.0,https://www.fnp.com/images/pr/canada/m/v20211014111641/besan-laddoo-bhai-dooj-gift-set.jpg
PERS-ITNL110,Personalised Woman Power Photo Mug,https://www.fnp.com/canada/gift/personalised-woman-power-photo-mug?localityname=vancouver&pos=144,CARTPERSMUG190147_CAN,2699.0,2699.0,https://www.fnp.com/images/pr/canada/m/v20190131133902/personalised-woman-power-photo-mug.jpg
ITNL203782,Super Delicious Gulab Jamun Cake 6 Inches,https://www.fnp.com/canada/gift/super-delicious-gulab-jamun-cake-6-inches?localityname=vancouver&pos=145,FRSTD_CK68_CAN,3249.0,3249.0,https://www.fnp.com/images/pr/canada/m/v20210521063509/super-delicious-gulab-jamun-cake-6-inches.jpg
ITNL203831,Flavourful Carrot Cake 6 Inches,https://www.fnp.com/canada/gift/flavourful-carrot-cake-6-inches?localityname=vancouver&pos=146,FRSTD_CK32_CAN,4049.0,4049.0,https://www.fnp.com/images/pr/canada/m/v20210521063614/flavourful-carrot-cake-6-inches.jpg
ITNL334473,Bhai Dooj Greetings Sweets Combo,https://www.fnp.com/canada/gift/bhai-dooj-greetings-sweets-combo?localityname=vancouver&pos=147,CART_CAN_CM04_BD21,3399.0,3399.0,https://www.fnp.com/images/pr/canada/m/v20211022112531/bhai-dooj-greetings-sweets-combo.jpg
