name,PID,pro_url,price,image
Ogeneral 1.8 Ton 3 Star Window Air Conditioner (AXGT24FHTC-B),18873,Ogeneral 1.8 Ton 3 Star Window Air Conditioner (AXGT24FHTC-B),52630.0,024ba15f-8c8a-4c6e-81c6-8b31dfbc80d322281137.jpg
Ogeneral 1.7 Ton 4 Star Window AIr Conditioner (AXGB24BAWA-B),20381,O General 1.7 Ton 4 Star Window AIr Conditioner (AXGB24BAWA-B),52630.0,47069353-1d67-4934-ab58-82b8a466a0f022180725.jpg
"OGeneral CLW Series Tropical Inverter 1.5 Ton (3 Star - Inverter) Split AC with Coanda Airflow, Powerful Mode, Tropical Product Design (ASGA18CLWA-B)",19733,Ogeneral 1.5 Ton 3 Star Split Inverter Air Conditioner (ASGA18CLWA-B),57900.0,eef7e779-5cde-4ab8-975f-ac98afce6f5722311302.jpg
Ogeneral 1.5 Ton 2 Star Split Air Conditioner (ASGA18FUTD-BZ),21881,Ogeneral 1.5 Ton 2 Star Split Air Conditioner (ASGA18FUTD-BZ),63160.0,f95918b7-8521-467a-8041-e4431cc24d0822311054.jpg
"OGeneral CPT Series Tropical Inverter 2 Ton (3 Star - Inverter) Split AC with 5 Speed Fan Control, Double Swing Automatic-3D Airflow (ASGG24CPTB-B)",21863,Ogeneral 2 Ton 3 Star Split Inverter Air Conditioner (ASGG24CPTB-B-3S),72630.0,01e78a6c-d71b-403f-b207-0f667a81437122301118.jpg
"OGeneral CET Series 1.5 Ton (5 Star - Inverter) Split AC with Double Swing Automatic 3D Airflow, PM 2.5 Filter, Copper Condenser (ASGG18CETA-B)",17017,Ogeneral 1.5 Ton 5 Star Split Inverter Air Conditioner (ASGG18CETA-B),74740.0,ebfe6e91-46f1-44a3-b5df-cc07bd881963.jpg
Ogeneral 2 Ton 2 Star Split Air Conditioner (ASGA24FUTC-BZ),21900,Ogeneral 2 Ton 2 Star Split Air Conditioner (ASGA24FUTC-BZ),77900.0,18d6eebf-55d6-4602-a24e-b6ebb0d1319722011125.jpg
Ogeneral 1.8 Ton 3 Star Split Inverter Air Conditioner (ASGA22CLWA-B-3S),21861,Ogeneral 1.8 Ton 3 Star Split Inverter Air Conditioner (ASGA22CLWA-B-3S),69470.0,a31a8aca-b4ca-4c72-a435-d2237f7fdecb22301055.jpg
"OGeneral CET Series 2 Ton (5 Star - Inverter) Split AC with Double Swing Automatic 3D Airflow, PM 2.5 Filter, Copper Condenser (ASGG24CETA-B)",17409,Ogeneral 2 Ton 5 Star Split Inverter Air Conditioner (ASGG24CETA-B),89470.0,6178f7ec-4a43-490e-8699-b61ed0cee11a21160623.jpg
Hitachi 1 Ton 3 Star Split Inverter Air Conditioner (RAPG312HFEOZ1),19629,Hitachi 1 Ton 3 Star Split Inverter Air Conditioner (RAPG312HFEOZ1),48200.0,0e921a74-2247-415d-94f0-192dfbcd042d22230550.jpg
